age,gender,frequency,account_age,card_type,loan_id,loan_date,amount,duration,payments,status,loan_year,loan_month,client_district_habitants,client_district_mun_under_499,client_district_mun_under_1999,client_district_mun_under_9999,client_district_mun_higher_10000,client_district_cities,client_district_inhab_ration,client_district_average_salary,client_district_95_unemp,client_district_96_unemp,client_district_entrepren,client_district_95_crimes,client_district_96_crimes,account_district_habitants,account_district_mun_under_499,account_district_mun_under_1999,account_district_mun_under_9999,account_district_mun_higher_10000,account_district_cities,account_district_inhab_ration,account_district_average_salary,account_district_95_unemp,account_district_96_unemp,account_district_entrepren,account_district_95_crimes,account_district_96_crimes,credit count,credit balance mean,credit balance min,credit balance max,credit amount mean,credit amount min,credit amount max,credit amount std,withdrawal count,withdrawal balance mean,withdrawal balance min,withdrawal balance max,withdrawal amount mean,withdrawal amount min,withdrawal amount max,withdrawal amount std,OPERATION A amount mean,OPERATION A count,OPERATION B amount mean,OPERATION B count,OPERATION C amount mean,OPERATION C count,OPERATION D amount mean,OPERATION D count,OPERATION E amount mean,OPERATION E count,OPERATION F amount mean,OPERATION F count,balance_to_loan_ratio,balance_on_request
48,2,1,5,0,5409,95-11-18,182040,60,3034,1,95,11,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,24,74770.0,600.0,110448.0,22367.0,67.0,61557.0,23233.0,35.0,62474.0,37464.0,100098.0,14230.0,15.0,53500.0,15743.0,600.0,1,44458.0,12.0,14230.0,35.0,0.0,0.0,0.0,0.0,246.0,11.0,0.2128515710832784,38747.5
29,2,2,5,0,5413,95-12-12,92976,24,3874,1,95,12,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,50,54171.0,300.0,122342.0,13338.0,66.0,48996.0,14748.0,59.0,47272.0,3217.0,122312.0,10939.0,30.0,45500.0,9855.0,19524.0,34,0.0,0.0,10378.0,48.0,13386.0,11.0,0.0,0.0,193.0,16.0,0.2315844949234211,21531.8
54,1,1,5,0,5414,95-03-29,185952,48,3874,1,95,3,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190,125236,28,11,1,4,5,87.7,9675,6.43,7.68,100,5323,5190,20,49715.0,700.0,145318.0,12501.0,69.0,46725.0,16935.0,14.0,50681.0,27005.0,140818.0,11973.0,1800.0,57400.0,14859.0,24788.0,10,0.0,0.0,12538.0,13.0,4625.0,1.0,0.0,0.0,213.0,10.0,0.4430455171226983,82385.2
41,1,1,4,0,5415,96-09-26,139464,36,3874,-1,96,9,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,19,33160.0,300.0,65063.0,7730.0,20.0,36854.0,13706.0,12.0,28956.0,22416.0,41663.0,8767.0,400.0,23400.0,7598.0,20759.0,7,0.0,0.0,8767.0,12.0,0.0,0.0,0.0,0.0,129.0,12.0,0.2987351574599897,41662.8
35,2,1,6,0,5418,95-01-16,347952,48,7249,1,95,1,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,50,60469.0,300.0,123013.0,16705.0,111.0,49271.0,17379.0,70.0,49649.0,18868.0,115030.0,11110.0,15.0,54600.0,10522.0,26809.0,31,0.0,0.0,11110.0,70.0,0.0,0.0,0.0,0.0,219.0,19.0,0.1653857428610843,57546.3
28,1,1,4,0,5429,96-07-18,20196,36,561,1,96,7,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,34,54924.0,200.0,77159.0,12968.0,58.0,35469.0,13354.0,62.0,51382.0,22646.0,76859.0,6052.0,15.0,24500.0,7345.0,24314.0,18,0.0,0.0,6134.0,49.0,5742.0,13.0,0.0,0.0,203.0,16.0,3.252356902356903,65684.6
20,1,1,4,0,5445,96-06-29,46320,24,1930,1,96,6,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859,133777,24,17,7,3,11,84.7,8705,5.75,7.61,116,4650,4859,48,56578.0,900.0,119892.0,15198.0,29.0,49053.0,16696.0,130.0,38887.0,9771.0,84871.0,5430.0,15.0,61600.0,10636.0,23440.0,31,0.0,0.0,9077.0,66.0,1670.0,64.0,0.0,0.0,168.0,17.0,0.575403713298791,26652.7
19,2,1,5,0,5449,95-11-04,99336,24,4139,1,95,11,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,24,28212.0,300.0,46568.0,5353.0,58.0,16866.0,5837.0,28.0,25998.0,17421.0,35180.0,3487.0,15.0,11900.0,2888.0,9097.0,14,0.0,0.0,3150.0,22.0,4723.0,6.0,0.0,0.0,111.0,10.0,0.3104483772247725,30838.7
50,1,1,6,0,5450,94-12-11,199680,60,3328,1,94,12,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,28,36590.0,500.0,62239.0,10073.0,20.0,29954.0,11123.0,46.0,31874.0,14413.0,57570.0,5698.0,15.0,22637.0,5575.0,400.0,2,21505.0,13.0,6206.0,37.0,3612.0,9.0,0.0,0.0,129.0,13.0,0.09985276442307692,19938.6
33,2,1,4,0,5452,96-04-29,49440,60,824,1,96,4,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,31,47118.0,300.0,74420.0,10569.0,29.0,30378.0,11130.0,79.0,48066.0,30504.0,74386.0,3577.0,4.0,20000.0,5144.0,19131.0,17,0.0,0.0,4698.0,47.0,1931.0,32.0,0.0,0.0,171.0,14.0,0.910631067961165,45021.6
43,2,1,5,0,5453,95-04-01,156672,36,4352,1,95,4,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,72541,66,26,10,0,8,36.9,8594,1.62,2.01,112,1580,1525,37,24167.0,500.0,41877.0,3673.0,11.0,10380.0,3552.0,38.0,21721.0,11419.0,39357.0,2964.0,15.0,9000.0,2233.0,5612.0,24,0.0,0.0,2524.0,30.0,4613.0,8.0,0.0,0.0,93.0,13.0,0.14862962111928105,23286.1
59,1,1,6,0,5464,95-01-30,95808,12,7984,1,95,1,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,40,67053.0,900.0,122452.0,18972.0,110.0,49008.0,16865.0,50.0,53821.0,16739.0,95139.0,13728.0,15.0,57700.0,13156.0,27998.0,27,0.0,0.0,13728.0,50.0,0.0,0.0,0.0,0.0,226.0,13.0,0.7567259519038075,72500.4
44,1,1,4,0,5470,96-04-15,200976,48,4187,1,96,4,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,114200,101,41,4,1,4,43.7,8403,5.74,5.72,105,2157,2718,17,51943.0,600.0,83554.0,12752.0,61.0,37686.0,13866.0,18.0,44156.0,20757.0,66187.0,9409.0,15.0,26600.0,7130.0,850.0,2,26694.0,8.0,9380.0,15.0,9554.0,3.0,0.0,0.0,220.0,7.0,0.23600529416447735,47431.4
41,1,1,6,0,5479,94-01-10,24516,12,2043,1,94,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,31,63394.0,200.0,125254.0,20345.0,12.0,49536.0,19409.0,42.0,49817.0,424.0,106875.0,13144.0,15.0,59200.0,15756.0,29948.0,21,0.0,0.0,13144.0,42.0,0.0,0.0,0.0,0.0,177.0,10.0,3.208957415565345,78670.8
49,2,1,5,0,5482,96-01-12,165120,60,2752,1,96,1,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,121947,37,28,7,3,11,70.5,8541,2.51,2.97,131,3496,3839,50,25749.0,1100.0,37946.0,3959.0,31.0,11210.0,3911.0,66.0,23339.0,9745.0,35946.0,2655.0,15.0,6300.0,2021.0,6327.0,31,0.0,0.0,1971.0,51.0,4982.0,15.0,0.0,0.0,97.0,19.0,0.13775072674418606,22745.4
26,2,3,5,0,5494,96-06-13,360000,48,7500,1,96,6,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,57,59588.0,600.0,126072.0,18340.0,95.0,73228.0,26111.0,79.0,45061.0,730.0,99265.0,12413.0,0.0,59500.0,12988.0,6450.0,2,53958.0,19.0,12413.0,79.0,0.0,0.0,0.0,0.0,203.0,36.0,0.17990333333333333,64765.2
28,2,1,4,0,5495,96-08-02,89340,60,1489,1,96,8,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,20,37831.0,500.0,54020.0,6167.0,32.0,17313.0,6521.0,24.0,41156.0,30800.0,51623.0,3409.0,15.0,8200.0,2549.0,11084.0,11,0.0,0.0,2986.0,19.0,5016.0,5.0,0.0,0.0,157.0,9.0,0.4647705395119767,41522.6
37,2,1,6,0,5519,94-03-08,91632,12,7636,1,94,3,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,27,42459.0,700.0,64578.0,8784.0,54.0,26378.0,9671.0,43.0,40046.0,26516.0,56778.0,4747.0,15.0,18300.0,4193.0,15674.0,15,0.0,0.0,5024.0,35.0,3532.0,8.0,0.0,0.0,172.0,12.0,0.36081172516151566,33061.9
49,2,3,6,0,5523,93-12-08,93888,36,2608,1,93,12,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,12,35824.0,600.0,52378.0,7085.0,48.0,15649.0,7698.0,7.0,40401.0,33576.0,50078.0,7186.0,100.0,15500.0,6092.0,3000.0,2,15649.0,5.0,7186.0,7.0,0.0,0.0,0.0,0.0,154.0,5.0,0.36976290899795505,34716.3
32,1,1,6,0,5533,94-07-05,111384,24,4641,1,94,7,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,55,76156.0,500.0,141386.0,19165.0,29.0,49388.0,16819.0,97.0,58827.0,20378.0,110349.0,10327.0,15.0,61700.0,14304.0,26928.0,39,0.0,0.0,12971.0,69.0,3812.0,28.0,0.0,0.0,243.0,16.0,0.4697164763341234,52318.9
52,2,1,6,0,5549,94-07-16,50460,60,841,1,94,7,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,19,36722.0,800.0,51971.0,8327.0,33.0,22928.0,8763.0,24.0,38243.0,28899.0,50052.0,4862.0,15.0,15000.0,4451.0,14286.0,11,0.0,0.0,4223.0,19.0,7289.0,5.0,0.0,0.0,133.0,8.0,0.8230479587792311,41531.0
50,1,1,5,0,5563,96-02-29,380160,60,6336,1,96,2,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,47,72861.0,1100.0,147375.0,18684.0,88.0,48887.0,18435.0,62.0,58649.0,22050.0,131075.0,13768.0,15.0,62500.0,15099.0,27321.0,32,0.0,0.0,13768.0,62.0,0.0,0.0,0.0,0.0,259.0,15.0,0.0645770202020202,24549.6
60,1,1,6,0,5568,94-05-17,272520,60,4542,1,94,5,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316,34,53217.0,1100.0,121891.0,13756.0,13.0,42400.0,14317.0,50.0,38745.0,11051.0,94434.0,8754.0,15.0,56700.0,11897.0,20260.0,23,0.0,0.0,9465.0,40.0,5907.0,10.0,0.0,0.0,156.0,11.0,0.11011999119330691,30009.9
60,2,1,6,0,5576,94-12-21,31248,12,2604,1,94,12,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,51,70757.0,1000.0,144715.0,16817.0,128.0,47033.0,16826.0,69.0,59864.0,20144.0,120711.0,11649.0,15.0,64100.0,13928.0,25856.0,33,0.0,0.0,11649.0,69.0,0.0,0.0,0.0,0.0,246.0,18.0,1.725624039938556,53922.3
35,2,1,3,0,5586,96-09-14,48744,36,1354,1,96,9,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,11,43227.0,900.0,62891.0,10108.0,54.0,28604.0,10825.0,3.0,41842.0,40497.0,43822.0,16100.0,13000.0,18600.0,2848.0,15783.0,7,0.0,0.0,16100.0,3.0,0.0,0.0,0.0,0.0,178.0,4.0,1.290236747086821,62891.3
40,2,1,3,0,5591,96-12-04,155616,48,3242,1,96,12,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316,92084,55,29,4,3,5,46.7,10124,0.56,0.54,141,3810,4316,16,39874.0,300.0,62154.0,9343.0,36.0,29176.0,10740.0,14.0,38914.0,24447.0,56078.0,8932.0,15.0,21800.0,7368.0,1300.0,2,20840.0,7.0,8932.0,14.0,0.0,0.0,0.0,0.0,144.0,7.0,0.15709888443347728,24447.1
19,2,1,5,0,5593,96-04-18,277884,36,7719,-1,96,4,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,105606,77,26,7,2,7,53.0,8254,2.79,3.76,97,2166,2325,46,52108.0,1000.0,129394.0,13760.0,15.0,47031.0,16058.0,71.0,42845.0,3592.0,98229.0,8751.0,15.0,53200.0,9875.0,24212.0,26,0.0,0.0,8751.0,71.0,0.0,0.0,0.0,0.0,171.0,20.0,0.041794417814627685,11614.0
27,1,1,6,1,5595,94-09-02,82896,12,6908,1,94,9,75685,31,28,5,1,9,60.8,8208,1.89,2.26,155,1660,2123,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,34,62643.0,900.0,107681.0,20656.0,130.0,62168.0,23237.0,92.0,55109.0,11724.0,107562.0,7111.0,15.0,38600.0,8373.0,3650.0,4,45590.0,15.0,9512.0,57.0,3292.0,33.0,1700.0,2.0,257.0,15.0,0.7756779579231808,64300.6
34,2,1,6,0,5599,95-03-21,15420,12,1285,1,95,3,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,53,26442.0,1000.0,41137.0,4777.0,22.0,13881.0,4885.0,98.0,23568.0,4823.0,33458.0,2258.0,15.0,11840.0,2116.0,7844.0,32,0.0,0.0,1819.0,64.0,3084.0,34.0,0.0,0.0,103.0,21.0,2.066614785992218,31867.2
54,2,2,3,0,5606,96-08-28,253512,36,7042,-1,96,8,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,14,41905.0,300.0,111044.0,12261.0,13.0,40419.0,14961.0,15.0,32608.0,4418.0,80844.0,10556.0,30.0,30200.0,9618.0,21361.0,8,0.0,0.0,10556.0,15.0,0.0,0.0,0.0,0.0,128.0,6.0,0.052535580169775,13318.4
22,2,1,5,0,5610,96-02-24,123216,48,2567,1,96,2,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,48,77192.0,700.0,138434.0,16990.0,55.0,48959.0,17736.0,80.0,66681.0,25205.0,138419.0,9224.0,15.0,59200.0,13410.0,27046.0,30,0.0,0.0,12144.0,58.0,1526.0,22.0,0.0,0.0,230.0,18.0,0.6296325152577588,77580.8
63,1,1,3,0,5611,96-11-15,321180,60,5353,1,96,11,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,177686,69,27,10,1,9,74.8,10045,1.42,1.71,135,6604,6295,17,46579.0,700.0,90257.0,16277.0,18.0,48180.0,17754.0,21.0,35623.0,19592.0,74796.0,11406.0,15.0,34000.0,9401.0,1300.0,2,34128.0,8.0,10625.0,17.0,14723.0,4.0,0.0,0.0,155.0,7.0,0.115771529983187,37183.5
27,1,1,6,0,5624,95-01-03,177744,48,3703,-1,95,1,108871,41,29,7,2,6,62.1,8444,3.24,3.47,106,2595,2305,161227,5,35,11,4,10,69.7,8678,5.93,5.57,102,4980,4595,36,31720.0,-2403.0,89734.0,9073.0,10.0,45056.0,11111.0,59.0,23712.0,-2486.0,89719.0,5295.0,3.0,26000.0,6412.0,15468.0,21,0.0,0.0,5295.0,59.0,0.0,0.0,0.0,0.0,121.0,15.0,0.08006289945089567,14230.7
60,1,1,4,0,5625,96-12-15,222180,60,3703,-1,96,12,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,28,59969.0,800.0,130659.0,13418.0,103.0,44352.0,15547.0,31.0,50951.0,14706.0,106401.0,10197.0,15.0,52600.0,12259.0,23313.0,16,0.0,0.0,10197.0,31.0,0.0,0.0,0.0,0.0,223.0,12.0,0.26815554955441534,59578.8
45,2,1,4,0,5635,96-10-04,77184,36,2144,1,96,10,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,36,59580.0,200.0,142918.0,15884.0,36.0,48447.0,19736.0,41.0,42945.0,6477.0,93218.0,13400.0,15.0,63600.0,17845.0,28393.0,20,0.0,0.0,13400.0,41.0,0.0,0.0,0.0,0.0,248.0,16.0,0.2908115671641791,22446.0
47,2,1,6,0,5657,94-07-05,4980,12,415,1,94,7,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,86513,38,36,5,1,5,50.5,8288,3.79,4.52,110,1562,1460,19,29712.0,800.0,41106.0,5353.0,36.0,15528.0,5855.0,27.0,31112.0,21602.0,39566.0,2933.0,15.0,16000.0,3810.0,9152.0,11,0.0,0.0,3733.0,17.0,1574.0,10.0,0.0,0.0,129.0,8.0,4.518132530120482,22500.3
48,2,1,5,0,5693,95-08-01,44088,24,1837,1,95,8,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487,81344,61,23,4,2,6,55.3,8899,3.39,3.97,149,2987,2487,17,35533.0,1000.0,55577.0,7534.0,62.0,24304.0,8713.0,15.0,37700.0,26231.0,47163.0,5580.0,15.0,18000.0,6036.0,12702.0,10,0.0,0.0,6132.0,12.0,3373.0,3.0,0.0,0.0,150.0,7.0,1.0063645436399926,44368.6
28,1,2,5,0,5706,96-05-24,161496,36,4486,1,96,5,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208,52,38857.0,500.0,113866.0,8838.0,8.0,42094.0,11664.0,78.0,29462.0,8142.0,74248.0,5515.0,30.0,64900.0,9955.0,14285.0,32,0.0,0.0,6286.0,59.0,3124.0,19.0,0.0,0.0,123.0,20.0,0.18187137761925992,29371.5
21,1,1,6,0,5713,95-05-30,158760,60,2646,1,95,5,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717,78955,50,24,8,1,9,59.0,9060,1.78,2.44,124,1655,1717,55,29238.0,900.0,59898.0,7198.0,17.0,23810.0,8274.0,111.0,22763.0,8042.0,58098.0,3394.0,15.0,17200.0,3756.0,1708.0,12,16955.0,22.0,3161.0,60.0,3668.0,51.0,0.0,0.0,113.0,21.0,0.12082577475434618,19182.3
45,1,1,6,0,5723,94-09-10,23628,12,1969,1,94,9,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,49,53127.0,1000.0,140229.0,11784.0,2.0,43694.0,13077.0,61.0,42838.0,5756.0,108729.0,8415.0,15.0,35200.0,9246.0,18528.0,31,0.0,0.0,8149.0,49.0,9503.0,12.0,0.0,0.0,170.0,18.0,2.7127264262739126,64096.3
31,1,1,6,0,5724,95-02-05,316140,60,5269,-1,95,2,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,60,20931.0,800.0,39616.0,4592.0,17.0,13352.0,4473.0,79.0,16888.0,1346.0,31944.0,3325.0,15.0,9500.0,2648.0,7206.0,38,0.0,0.0,3325.0,79.0,0.0,0.0,0.0,0.0,77.0,22.0,0.040571898525969506,12826.4
35,1,1,4,0,5725,96-07-23,444864,48,9268,1,96,7,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484,4265,27,33932.0,800.0,62904.0,8398.0,50.0,25862.0,9150.0,37.0,31291.0,12070.0,46604.0,5000.0,15.0,16300.0,4195.0,13258.0,17,0.0,0.0,5236.0,25.0,4508.0,12.0,0.0,0.0,134.0,10.0,0.09383519457631996,41743.9
42,2,1,5,0,5739,95-01-02,76380,12,6365,1,95,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,20,25317.0,1100.0,41703.0,4597.0,36.0,12861.0,4712.0,25.0,26768.0,15755.0,39876.0,2751.0,15.0,8700.0,2412.0,7597.0,12,0.0,0.0,3532.0,13.0,1905.0,12.0,0.0,0.0,97.0,8.0,0.30317622414244566,23156.6
36,2,1,5,0,5740,95-04-02,18564,12,1547,1,95,4,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,9,35513.0,200.0,56498.0,8607.0,24.0,25604.0,10386.0,4.0,35595.0,25504.0,43098.0,8550.0,300.0,13400.0,5961.0,15402.0,5,0.0,0.0,8550.0,4.0,0.0,0.0,0.0,0.0,114.0,4.0,2.330623787976729,43265.7
23,1,2,3,0,5741,96-11-03,68544,24,2856,1,96,11,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,114006,71,26,6,2,9,62.3,9065,4.46,5.39,123,4147,4166,17,48078.0,900.0,94208.0,14910.0,48.0,44342.0,16403.0,37.0,43511.0,20224.0,88280.0,6209.0,30.0,34800.0,8676.0,900.0,1,31409.0,8.0,9355.0,22.0,1594.0,15.0,0.0,0.0,162.0,8.0,0.34619806255835667,23729.8
50,2,1,5,0,5750,96-02-08,63252,12,5271,1,96,2,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,48,54768.0,18100.0,86343.0,16675.0,106.0,47436.0,17666.0,116.0,47026.0,13098.0,85524.0,6471.0,15.0,31800.0,7243.0,1633.0,3,34374.0,23.0,8236.0,80.0,2550.0,36.0,0.0,0.0,222.0,22.0,0.7858913552140643,49709.2
59,2,1,6,0,5754,94-09-28,23052,12,1921,1,94,9,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,48,26976.0,700.0,54322.0,6742.0,35.0,20812.0,7257.0,123.0,22521.0,6791.0,54060.0,2399.0,15.0,24000.0,3076.0,11093.0,29,0.0,0.0,3076.0,62.0,1711.0,61.0,0.0,0.0,101.0,19.0,1.2377103938920702,28531.7
60,1,1,6,0,5804,95-04-05,158976,48,3312,1,95,4,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,52,57275.0,600.0,130293.0,13042.0,74.0,48358.0,13604.0,104.0,46237.0,12820.0,94210.0,6339.0,15.0,37300.0,8769.0,18748.0,36,0.0,0.0,9381.0,62.0,1849.0,42.0,0.0,0.0,204.0,16.0,0.11884812801932366,18894.0
31,1,1,4,0,5805,95-11-28,137904,24,5746,-1,95,11,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,75637,35,36,9,0,7,36.5,9622,0.45,0.59,154,3475,3529,9,25326.0,600.0,43260.0,6196.0,29.0,11878.0,5853.0,3.0,31568.0,28285.0,35160.0,6867.0,3500.0,9000.0,2950.0,9252.0,6,0.0,0.0,6867.0,3.0,0.0,0.0,0.0,0.0,83.0,3.0,0.2549577967281587,35159.7
40,2,1,5,0,5836,94-08-27,79632,24,3318,1,94,8,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,10,68916.0,900.0,119374.0,24446.0,112.0,66165.0,26216.0,6.0,54458.0,35522.0,89746.0,25786.0,9516.0,64300.0,20421.0,900.0,1,48521.0,5.0,29040.0,5.0,9516.0,1.0,0.0,0.0,239.0,4.0,1.2465152200120555,99262.5
32,2,1,6,0,5837,94-06-29,244560,60,4076,1,94,6,109164,98,16,6,1,4,63.6,8757,3.38,3.95,96,2212,2471,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,18,42978.0,1000.0,72512.0,12456.0,65.0,36680.0,14327.0,24.0,35013.0,19433.0,56560.0,8454.0,15.0,24600.0,7687.0,1033.0,3,27510.0,8.0,7743.0,20.0,12006.0,4.0,0.0,0.0,148.0,7.0,0.08720191364082433,21326.1
50,1,1,6,0,5861,94-12-08,51408,24,2142,1,94,12,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,31,56318.0,900.0,137087.0,14637.0,44.0,49907.0,16009.0,33.0,48524.0,19987.0,89492.0,12259.0,15.0,57700.0,14998.0,23766.0,19,0.0,0.0,12259.0,33.0,0.0,0.0,0.0,0.0,183.0,12.0,0.9570261437908497,49198.8
31,1,2,5,0,5876,95-02-08,221280,48,4610,1,95,2,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,25,46862.0,1100.0,106145.0,17512.0,70.0,50178.0,18886.0,46.0,32562.0,8620.0,86045.0,8837.0,30.0,32300.0,7981.0,1100.0,1,36240.0,12.0,9022.0,39.0,7802.0,7.0,0.0,0.0,152.0,12.0,0.14151617859725235,31314.7
48,2,1,6,0,5877,95-02-23,97224,24,4051,1,95,2,74062,99,15,4,2,7,61.4,8114,2.38,2.62,119,1003,1181,122603,25,21,6,2,8,80.0,8991,1.39,2.01,128,5198,5273,42,24010.0,1000.0,43393.0,5483.0,52.0,16257.0,5691.0,70.0,21371.0,10362.0,34865.0,3011.0,15.0,11700.0,2246.0,8804.0,26,0.0,0.0,2656.0,44.0,3612.0,26.0,0.0,0.0,86.0,16.0,0.2003579363120217,19479.6
32,2,1,4,0,5880,95-10-31,73836,36,2051,1,95,10,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,14,53423.0,900.0,129608.0,13747.0,19.0,44281.0,17258.0,5.0,60613.0,45132.0,101908.0,25000.0,20100.0,37000.0,7472.0,21260.0,9,0.0,0.0,25000.0,5.0,0.0,0.0,0.0,0.0,222.0,5.0,0.913553009372122,67453.1
